data
"[83,-80,4,0,31,-30,32,-32,32,-33,30,-32,27,-30,23,-27,19,-23,15,-17,10,-11,6,-4,1,3,-3,10,-6,16,-10,22,-12,27,-14,30,-17,33,-18,34,-19,33,-20,31,-20,27,-19,23,-18,17,-16,11,-14,6,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-5,29,-17,28,-16,25,-14,20,-12,15,-10,8,-7,1,-4,-6,-1,-14,1,-21,4,-27,7,-32,10,-36,12,-38,14,-39,16,-38,17,-35,17,-32,16,-27,15,-20,12,-14,9,-7,4,0,-1,7,-7,14,-13,18,-17]"
"[83,-80,4,0,-8,8,-5,3,-1,-2,3,-7,6,-12,9,-16,11,-20,12,-23,13,-25,13,-26,13,-27,12,-26,12,-24,11,-20,10,-16,8,-12,6,-7,4,-2,2,3,-1,7,-4,11,-6,14,-9,17,-12,18,-14,18,-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,8,-6,11,-8,14,-11,17,-14,19,-16,21,-17,22,-18,22,-18,20,-17,18,-16,15,-14,12,-12,8,-9,4,-6,0,-2,-5,3,-9,6,-13,10,-16,14,-19,18,-20,21,-21,23,-21,24,-21,25,-19,23,-18,22]"
"[83,-80,4,0,-6,-11,-3,-6,1,0,4,5,7,10,10,14,12,18,14,20,16,22,17,22,18,23,17,22,16,21,13,18,10,15,7,12,3,9,-1,4,-4,0,-7,-4,-9,-9,-11,-13,-12,-16,-12,-19,-11,-20,-3,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,2,13,3,17,5,20,6,23,7,25,7,26,7,26,7,25,6,23,6,20,5,16,4,11,2,5,1,-1,-2,-6,-4,-11,-5,-17,-7,-21,-10,-25,-12,-27,-14,-29,-15,-30,-15,-29,-15,-28,-14,-26]"
"[83,-80,4,0,-1,-12,-1,-6,1,1,2,7,2,12,3,17,5,21,6,24,7,27,7,28,7,28,7,27,6,25,5,22,3,18,1,14,0,9,-2,4,-4,-1,-5,-7,-6,-11,-6,-15,-5,-19,-4,-21,-2,-23,-1,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-3,9,-3,13,-3,17,-3,21,-3,24,-3,26,-3,27,-3,27,-3,26,-2,24,-2,21,-1,16,-1,12,0,6,1,0,1,-6,1,-12,0,-17,0,-22,-1,-27,-2,-30,-2,-32,-3,-33,-4,-32,-4,-31,-4,-29]"
"[83,-80,4,0,15,6,6,3,-2,0,-10,-3,-18,-6,-25,-7,-31,-8,-36,-9,-39,-9,-41,-9,-42,-9,-40,-9,-37,-8,-32,-8,-27,-8,-20,-7,-13,-7,-5,-6,2,-5,9,-3,16,0,22,2,26,5,29,8,29,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-10,-11,-14,-13,-19,-17,-24,-20,-27,-22,-30,-23,-31,-24,-31,-24,-30,-23,-28,-21,-24,-18,-20,-14,-15,-10,-9,-5,-2,0,5,4,12,9,19,12,25,15,31,18,35,19,39,19,41,19,41,18,39,17,36,15]"
"[83,-80,4,0,-1,19,-1,20,-1,19,-1,19,0,17,0,15,0,12,0,9,-1,6,-1,2,-2,-1,-3,-5,-3,-8,-4,-11,-4,-13,-5,-15,-4,-16,-4,-17,-4,-17,-3,-16,-2,-15,-1,-13,0,-11,1,-8,2,-6,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-3,14,-3,13,-3,12,-2,10,-2,7,-1,4,0,1,2,-2,3,-5,4,-8,5,-11,6,-14,6,-16,6,-17,5,-17,5,-17,4,-17,3,-15,2,-13,1,-11,0,-7,0,-4,0,0,-1,4,-1,8,-2,10]"
"[83,-80,4,0,30,6,31,6,31,6,30,5,28,5,24,4,20,3,15,2,10,1,4,1,-2,1,-8,1,-13,1,-18,1,-22,0,-24,0,-27,-1,-28,-2,-27,-3,-26,-5,-24,-6,-21,-6,-17,-7,-12,-7,-8,-7,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,24,2,23,3,20,3,16,2,12,1,8,0,2,-2,-3,-5,-8,-7,-13,-8,-18,-10,-22,-12,-25,-13,-27,-13,-28,-12,-28,-11,-27,-10,-25,-9,-21,-7,-17,-5,-12,-3,-6,-1,0,0,7,2,13,3,17,4]"
"[83,-80,4,0,22,22,22,22,23,22,22,21,20,19,18,17,15,14,11,11,7,7,2,3,-2,0,-7,-3,-12,-6,-16,-9,-18,-12,-20,-14,-22,-16,-22,-18,-21,-18,-19,-19,-17,-18,-14,-17,-10,-15,-6,-13,-3,-10,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,19,14,18,14,16,13,13,10,10,7,7,3,3,-1,0,-5,-4,-10,-7,-14,-11,-18,-13,-21,-15,-23,-17,-24,-18,-25,-19,-24,-18,-22,-17,-20,-15,-17,-13,-13,-9,-9,-5,-5,-1,0,4,5,9,9,13,13]"
"[83,-80,4,0,-6,-31,-6,-33,-7,-33,-6,-31,-6,-29,-6,-25,-5,-21,-4,-16,-2,-11,0,-5,1,0,3,6,5,11,7,15,8,19,8,22,8,24,8,25,6,26,5,25,4,23,2,20,0,17,-2,12,-4,9,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-6,-7,-24,-6,-23,-6,-21,-5,-18,-4,-13,-4,-8,-4,-2,-3,3,-3,9,-3,14,-3,19,-3,24,-2,27,-2,29,-1,29,0,29,1,27,1,25,2,21,2,17,2,12,1,5,0,-2,-1,-8,-2,-14,-3,-19]"
"[83,-80,4,0,-5,11,-3,4,0,-2,2,-8,3,-13,5,-18,5,-22,6,-25,6,-27,6,-29,6,-29,6,-28,6,-26,6,-23,6,-18,5,-14,4,-9,3,-3,1,2,0,7,-2,11,-4,14,-7,17,-10,19,-11,19,-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,5,-9,6,-13,8,-17,9,-20,10,-23,11,-25,11,-26,11,-26,10,-25,9,-23,8,-20,6,-17,4,-12,1,-7,-2,-1,-4,4,-6,9,-8,15,-10,19,-11,24,-11,27,-12,29,-11,30,-11,30,-10,29,-9,27]"
"[83,-80,4,0,13,10,5,4,-2,-1,-9,-7,-15,-11,-21,-15,-27,-18,-31,-21,-33,-22,-35,-23,-36,-23,-35,-22,-32,-21,-28,-20,-22,-17,-16,-14,-9,-11,-3,-7,3,-2,9,3,14,8,18,13,20,17,20,21,20,24,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,-10,-11,-14,-14,-19,-17,-24,-20,-27,-23,-30,-24,-31,-25,-31,-25,-29,-24,-27,-22,-23,-19,-19,-15,-14,-10,-9,-5,-3,1,4,6,10,11,17,15,22,20,27,23,31,25,35,27,36,27,36,26,34,25,32,23]"
"[83,-80,4,0,0,-12,0,-6,0,1,0,7,0,13,0,18,0,22,0,25,1,27,1,28,1,29,1,28,0,26,0,22,-1,19,-2,14,-2,9,-3,3,-3,-2,-3,-7,-2,-12,-1,-16,0,-19,3,-21,5,-22,1,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-3,9,-3,13,-3,17,-3,21,-3,24,-3,26,-3,27,-3,27,-3,26,-3,24,-2,21,-2,17,-1,12,0,6,1,0,2,-6,2,-11,2,-17,2,-22,2,-26,2,-30,1,-32,1,-33,0,-33,0,-31,0,-29]"
"[83,-80,4,0,1,6,0,2,-1,-1,-1,-5,-2,-8,-3,-12,-4,-14,-4,-16,-5,-17,-5,-18,-5,-18,-5,-17,-5,-16,-4,-14,-3,-12,-1,-9,0,-6,1,-3,1,0,2,3,2,6,2,9,1,11,0,12,-1,13,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-6,-1,-9,-2,-11,-2,-14,-2,-16,-2,-17,-3,-17,-3,-17,-3,-16,-3,-15,-2,-13,-2,-11,-2,-8,-2,-4,-1,-1,-1,3,-1,6,0,9,1,12,2,15,2,17,3,18,3,19,3,19,3,18,3,16]"
"[83,-80,4,0,-26,18,-27,19,-27,19,-26,18,-24,17,-21,15,-17,12,-13,9,-9,5,-4,2,0,-2,3,-6,8,-10,12,-13,15,-15,17,-17,20,-17,21,-17,22,-16,21,-15,20,-12,18,-10,16,-7,13,-4,10,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4,-16,18,-16,17,-15,15,-13,13,-9,9,-5,6,0,3,4,0,9,-3,13,-6,18,-9,21,-11,24,-13,25,-14,26,-15,25,-16,23,-16,21,-15,18,-13,14,-11,9,-8,4,-5,-2,-1,-7,3,-12,7,-16,10]"
"[83,-80,4,0,6,10,2,4,-1,-2,-4,-7,-7,-12,-10,-16,-13,-19,-15,-22,-16,-23,-17,-24,-18,-25,-17,-24,-16,-23,-13,-20,-10,-17,-7,-13,-4,-9,-1,-5,2,-1,5,4,7,9,8,13,8,16,7,19,6,21,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,-4,-10,-6,-13,-8,-17,-11,-20,-12,-23,-13,-24,-14,-25,-14,-25,-13,-24,-13,-22,-11,-19,-10,-15,-7,-11,-5,-5,-2,0,0,5,3,10,6,15,9,19,12,23,14,25,16,27,17,27,17,27,16,26,15,24]"
