type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data,user,position,environment
CSI_DATA,900252,b2:1f:e7:2b:79:66,-39,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108121736,0,83,0,128,1,"[83,-80,4,0,7,-15,6,-15,6,-15,6,-14,5,-14,5,-13,5,-12,5,-11,5,-10,5,-9,5,-7,6,-6,6,-4,6,-3,7,-1,7,0,8,1,8,3,8,3,8,4,7,5,7,5,7,5,6,5,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-3,2,-3,2,-1,2,0,3,1,3,2,3,3,3,4,3,5,4,6,4,6,4,6,4,6,5,6,5,5,5,4,6,3,6,2,7,0,7,-1,7,-3,8,-5,8,-7,8,-9,8,-10,8,-12]",giovani,unknown,unknown
CSI_DATA,900254,b2:1f:e7:2b:79:66,-43,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108105903,0,83,0,128,1,"[83,-80,4,0,-23,-34,-24,-34,-24,-33,-24,-31,-22,-30,-21,-28,-19,-27,-17,-26,-14,-24,-11,-23,-8,-22,-4,-21,0,-20,3,-18,7,-17,11,-16,13,-15,16,-13,18,-12,19,-11,20,-10,20,-9,20,-7,20,-6,20,-5,5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-6,-8,-3,-7,0,-7,3,-6,5,-6,8,-5,11,-5,13,-4,15,-4,17,-3,18,-4,19,-4,19,-5,18,-6,17,-8,16,-10,14,-12,12,-14,8,-17,5,-19,2,-22,-2,-25,-5,-27,-10,-30,-13,-32,-16,-34]",giovani,unknown,unknown
CSI_DATA,900256,b2:1f:e7:2b:79:66,-42,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108086762,0,83,0,128,1,"[83,-80,4,0,-1,46,0,46,1,45,1,43,1,41,0,39,0,36,-1,33,-3,30,-5,26,-8,23,-11,19,-13,15,-16,12,-19,8,-21,4,-22,1,-24,-2,-24,-5,-25,-7,-25,-9,-24,-10,-23,-11,-22,-12,-21,-13,-5,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,-1,7,-4,5,-7,3,-9,1,-12,-1,-14,-3,-16,-5,-19,-7,-20,-8,-22,-8,-22,-8,-23,-7,-23,-6,-23,-4,-22,-1,-22,2,-21,6,-19,10,-18,14,-16,19,-14,24,-12,29,-9,33,-7,38,-5,41]",giovani,unknown,unknown
CSI_DATA,900258,b2:1f:e7:2b:79:66,-39,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108078581,0,83,0,128,1,"[83,-80,4,0,-10,-15,-10,-15,-10,-14,-10,-13,-9,-13,-9,-12,-8,-12,-7,-11,-6,-10,-5,-10,-4,-9,-2,-9,-1,-9,1,-8,3,-8,4,-7,5,-7,6,-6,7,-6,8,-5,8,-5,8,-5,8,-4,8,-4,8,-3,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-3,-4,-2,-4,-1,-3,1,-3,2,-3,3,-2,4,-2,5,-2,6,-2,7,-2,7,-2,8,-2,8,-2,8,-3,7,-3,7,-4,6,-5,5,-6,4,-7,2,-8,1,-9,-1,-10,-2,-11,-4,-12,-5,-14,-6,-14]",giovani,unknown,unknown
CSI_DATA,900260,b2:1f:e7:2b:79:66,-42,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108070839,0,83,0,128,1,"[83,-80,4,0,-11,-46,-12,-45,-13,-44,-13,-42,-12,-40,-11,-38,-10,-36,-8,-34,-6,-31,-3,-29,0,-26,4,-23,8,-21,11,-18,15,-15,18,-12,20,-9,22,-7,24,-5,25,-3,26,-1,25,0,25,1,24,2,23,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,-4,-10,-1,-9,2,-7,5,-6,8,-4,11,-3,13,-1,16,0,18,1,20,2,22,2,22,2,23,1,23,0,22,-2,21,-5,20,-8,18,-11,15,-15,13,-19,10,-23,7,-27,4,-32,1,-36,-3,-39,-5,-42]",giovani,unknown,unknown
CSI_DATA,900262,b2:1f:e7:2b:79:66,-42,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108068748,0,83,0,128,1,"[83,-80,4,0,-23,-35,-24,-35,-23,-34,-23,-32,-22,-30,-21,-29,-19,-28,-16,-26,-14,-25,-10,-24,-7,-22,-3,-21,1,-20,5,-19,8,-17,12,-16,14,-14,17,-13,19,-11,20,-10,21,-9,21,-7,21,-6,21,-5,20,-4,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-6,-7,-4,-7,-1,-7,2,-6,5,-6,8,-6,10,-6,13,-5,15,-5,17,-5,18,-5,19,-6,19,-6,18,-7,17,-9,16,-11,14,-13,11,-15,8,-18,5,-20,1,-23,-2,-25,-6,-28,-10,-30,-14,-32,-17,-34]",giovani,unknown,unknown
CSI_DATA,900264,b2:1f:e7:2b:79:66,-42,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108059961,0,83,0,128,1,"[83,-80,4,0,-25,-34,-25,-34,-25,-32,-25,-31,-23,-29,-22,-28,-20,-27,-18,-25,-15,-24,-12,-23,-8,-22,-4,-21,-1,-20,3,-18,7,-17,11,-16,14,-15,16,-13,18,-12,20,-11,21,-10,21,-8,21,-7,21,-6,20,-5,5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-6,-7,-4,-7,-1,-7,2,-6,5,-6,8,-6,11,-5,13,-5,15,-5,17,-5,18,-5,19,-6,19,-6,18,-8,17,-9,16,-11,14,-13,11,-15,8,-18,4,-20,1,-22,-3,-25,-7,-28,-11,-30,-15,-32,-18,-33]",giovani,unknown,unknown
CSI_DATA,900266,b2:1f:e7:2b:79:66,-42,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108050265,0,83,0,128,1,"[83,-80,4,0,44,-13,43,-14,42,-15,41,-15,39,-14,37,-13,35,-12,32,-10,30,-7,27,-4,25,0,22,3,20,7,18,11,15,14,12,17,10,20,7,22,5,24,3,25,2,25,0,25,-1,25,-3,24,-4,23,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,9,-4,8,-2,6,1,5,4,4,7,2,10,1,13,0,16,-1,18,-2,20,-2,21,-2,22,-1,22,1,22,3,21,5,20,8,18,11,16,15,14,19,12,23,9,26,5,30,2,34,-1,38,-4,40,-7]",giovani,unknown,unknown
CSI_DATA,900268,b2:1f:e7:2b:79:66,-42,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108042290,0,83,0,128,1,"[83,-80,4,0,41,-5,40,-6,39,-6,38,-6,36,-6,34,-6,32,-5,30,-3,27,-1,24,1,21,4,19,6,16,9,13,12,11,15,8,17,5,19,3,21,1,22,-1,22,-3,22,-4,22,-5,21,-6,20,-7,20,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,8,-2,7,0,5,2,4,4,2,7,0,10,-2,12,-3,14,-4,15,-5,17,-6,18,-6,19,-5,19,-4,19,-2,19,0,18,3,17,7,16,10,15,14,13,18,11,22,9,26,7,30,5,34,3,37,1]",giovani,unknown,unknown
CSI_DATA,900270,b2:1f:e7:2b:79:66,-42,11,1,7,0,1,1,0,1,0,1,-97,0,1,0,-108042023,0,83,0,128,1,"[83,-80,4,0,45,10,45,9,44,8,43,8,41,7,39,7,36,7,33,8,29,9,25,11,21,12,17,14,13,16,9,18,5,20,1,21,-3,22,-6,23,-8,23,-11,23,-12,22,-14,22,-15,20,-15,19,-16,18,-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,9,0,7,2,5,4,2,6,0,8,-3,11,-5,12,-8,14,-10,16,-11,17,-12,18,-12,19,-12,19,-10,20,-8,20,-6,20,-3,20,2,20,6,20,11,20,16,19,20,18,25,17,31,16,36,15,39,13]",giovani,unknown,unknown
