data
"[83,-80,4,0,-2,17,1,16,5,15,9,15,12,16,14,17,16,18,17,19,17,19,17,19,17,19,16,18,16,17,15,15,15,14,15,12,15,10,16,8,17,6,18,5,19,5,20,5,20,5,20,5,20,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-5,9,-7,11,-12,13,-16,14,-19,14,-22,12,-24,10,-25,7,-24,4,-22,2,-19,1,-15,1,-12,2,-9,5,-6,8,-4,12,-3,16,-2,19,-3,23,-4,26,-5,28,-7,29,-9,29,-10,28,-10,26,-9,24]"
"[83,-80,4,0,25,-15,26,-14,26,-13,25,-12,23,-11,20,-10,18,-11,15,-11,13,-13,11,-14,9,-16,7,-18,6,-20,5,-22,6,-23,7,-23,7,-23,7,-23,7,-23,7,-22,7,-21,7,-21,7,-20,7,-19,7,-18,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,18,7,17,4,16,2,12,1,9,3,5,5,2,9,0,13,-1,17,-1,21,1,23,4,25,7,26,9,25,11,23,11,21,11,19,11,16,9,15,6,14,3,13,-1,14,-5,15,-9,17,-12,19,-14]"
"[83,-80,4,0,5,18,4,18,4,18,3,17,2,16,3,14,3,13,4,11,5,9,6,8,8,7,9,6,11,6,12,6,13,6,13,7,13,7,13,7,13,7,12,7,12,7,11,7,11,6,10,6,10,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,-13,3,-13,1,-11,-1,-9,-1,-7,-1,-5,0,-3,2,-2,5,-2,8,-3,10,-4,13,-6,14,-8,15,-10,15,-11,14,-12,13,-11,11,-11,10,-9,9,-7,8,-5,8,-2,8,0,9,3,10,4,12,5,13]"
"[83,-80,4,0,17,-8,17,-7,17,-7,16,-6,15,-6,14,-6,12,-6,10,-6,9,-8,7,-9,6,-10,5,-11,5,-12,4,-14,5,-15,5,-15,5,-15,5,-15,6,-15,6,-14,5,-14,5,-14,5,-13,5,-12,5,-12,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,12,3,12,1,11,0,8,0,6,1,4,3,2,5,1,8,0,11,0,13,2,15,3,16,5,16,7,15,8,14,9,13,9,12,8,10,7,9,5,8,3,8,0,9,-3,10,-5,11,-7,12,-8]"
"[83,-80,4,0,23,17,23,18,22,19,20,18,19,17,18,15,17,12,16,10,16,6,16,3,17,1,18,-1,20,-3,21,-5,22,-5,23,-5,24,-5,24,-4,23,-4,23,-4,22,-3,21,-3,20,-3,19,-3,18,-3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4,-14,15,-16,12,-15,9,-13,6,-9,4,-5,4,-1,6,2,8,5,12,6,16,6,20,5,23,3,26,1,28,-1,28,-3,27,-4,25,-4,22,-3,19,-2,17,1,14,5,12,9,11,13,11,17,11,20,12]"
"[83,-80,4,0,-3,-30,-2,-31,-1,-30,0,-29,0,-27,-1,-25,-2,-22,-4,-20,-6,-17,-9,-15,-11,-15,-14,-14,-16,-14,-18,-14,-19,-14,-19,-15,-19,-16,-19,-16,-19,-16,-18,-16,-18,-16,-17,-15,-16,-14,-16,-13,-15,-13,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,21,0,19,2,16,4,12,5,9,3,6,0,5,-4,4,-8,5,-12,8,-16,11,-19,14,-20,17,-21,20,-20,21,-19,22,-17,21,-15,19,-13,16,-11,13,-11,9,-11,5,-12,2,-14,-1,-17,-3,-21,-5,-23]"
"[83,-80,4,0,-30,5,-30,4,-30,2,-28,1,-26,1,-24,2,-22,3,-19,4,-17,6,-15,8,-14,11,-13,13,-12,16,-13,18,-13,19,-14,19,-14,19,-14,19,-14,19,-15,18,-14,18,-14,17,-13,16,-13,15,-12,14,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-6,-3,-21,0,-20,2,-18,3,-14,2,-11,-1,-8,-5,-5,-9,-4,-13,-5,-17,-7,-20,-10,-22,-13,-22,-16,-22,-19,-21,-20,-19,-21,-17,-20,-15,-19,-13,-16,-12,-13,-12,-9,-13,-5,-15,-2,-18,2,-21,4,-23,5]"
"[83,-80,4,0,14,5,14,2,14,-1,15,-4,17,-6,18,-8,19,-10,20,-10,20,-11,21,-10,20,-10,20,-10,19,-10,17,-10,15,-10,14,-11,12,-12,11,-13,10,-14,9,-15,9,-16,9,-17,9,-17,10,-17,10,-16,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,8,9,8,12,8,16,7,19,4,21,2,22,-1,22,-3,21,-4,18,-4,16,-3,13,-1,10,2,8,5,6,9,5,13,6,16,6,19,8,21,9,23,11,23,13,22,14,21,15,20,15,18,14]"
"[83,-80,4,0,-18,2,-16,5,-15,8,-14,11,-14,15,-14,17,-15,19,-16,20,-16,21,-16,21,-16,20,-16,20,-14,19,-13,18,-11,18,-9,17,-7,17,-5,18,-4,18,-2,19,-1,20,-1,20,-1,21,-2,21,-2,21,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,-11,-3,-13,-5,-16,-9,-18,-13,-18,-17,-17,-20,-15,-22,-12,-23,-9,-23,-7,-21,-5,-19,-4,-15,-5,-11,-7,-7,-10,-4,-13,-1,-17,0,-21,1,-24,2,-27,1,-29,0,-31,-1,-31,-3,-30,-4,-28,-5,-26,-4]"
"[83,-80,4,0,-16,8,-13,10,-11,13,-9,16,-8,19,-7,21,-7,23,-7,24,-7,25,-7,25,-7,25,-6,24,-5,23,-4,22,-3,20,-1,19,0,18,2,18,4,18,5,18,7,18,8,19,8,19,7,20,7,20,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-11,1,-14,-1,-18,-3,-21,-6,-22,-10,-22,-13,-21,-16,-19,-18,-16,-18,-14,-18,-11,-16,-9,-13,-9,-9,-9,-5,-10,0,-13,3,-15,6,-19,9,-22,10,-25,11,-27,11,-29,10,-30,9,-30,8,-28,6,-26,5]"
